0001	装備無し
0075	曙丸・皇【篭手】
0076	凛・皇【篭手】
0077	艶・皇【篭手】
0078	ミラバルカンクロウ
0079	ミラバルカンフィスト
007a	ゴールドルナアーム
007b	ゴールドルナガード
007c	シルバーソルアーム
007d	シルバーソルガード
007e	レザーライトＳアーム
007f	チェーンＳアーム
0080	ハンターＳアーム
0081	ハンターＳガード
0082	ボーンＳアーム
0083	ボーンＳガード
0084	ランポスＳアーム
0085	ランポスＳガード
0086	バトルＳアーム
0087	バトルＳガード
0088	ランゴＳアーム
0089	ランゴＳガード
008a	タロスＳアーム
008b	タロスＳガード
008c	ハイメタＳアーム
008d	ハイメタＳガード
008e	ゲネポスＳアーム
008f	ゲネポスＳガード
0090	クックＳアーム
0091	クックＳガード
0092	イーオスＳアーム
0093	イーオスＳガード
0094	ゲリョスＳアーム
0095	ゲリョスＳガード
0096	ガレオスＳアーム
0097	ガレオスＳガード
0098	スティールＳアーム
0099	レイアＳアーム
009a	レイアＳガード
009b	フルフルＳアーム
009c	フルフルＳガード
009d	レウスＳアーム
009e	レウスＳガード
009f	ガノスＳアーム
00a0	ガノスＳガード
00a1	バサルＳアーム
00a2	バサルＳガード
00a3	ディアブロＳアーム
00a4	ディアブロＳガード
00a5	モノブロスＳアーム
00a6	モノブロスＳガード
00a7	グラビドＳアーム
00a8	グラビドＳガード
00a9	忍の篭手・天
00aa	忍の篭手・地
00ab	ギルドガードグラブ紅
00ac	ギルドガードカフス紅
00ad	ギルドガードグラブ紅
00ae	ギルドガードカフス紅
00af	暁丸・覇【篭手】
00b0	曙丸・覇【篭手】
00b1	凛・覇【篭手】
00b2	艶・覇【篭手】
00b3	ドラゴンＳクロウ
00b4	ドラゴンＳフィスト
00b5	ザザミアーム
00b6	ザザミガード
00b7	ザザミＵアーム
00b8	ザザミＵガード
00b9	ザザミＳアーム
00ba	ザザミＳガード
00bb	コンガアーム
00bc	コンガガード
00bd	コンガＵアーム
00be	コンガＵガード
00bf	コンガＳアーム
00c0	コンガＳガード
00c1	ブランゴアーム
00c2	ブランゴガード
00c3	ブランゴＵアーム
00c4	ブランゴＵガード
00c5	ブランゴＳアーム
00c6	ブランゴＳガード
00c7	ギザミアーム
00c8	ギザミガード
00c9	ギザミＵアーム
00ca	ギザミＵガード
00cb	ギザミＳアーム
00cc	ギザミＳガード
00cd	キリンアームロング
00ce	キリングローブ
00cf	キリンＳアームロング
00d0	キリンＳグローブ
00d1	クシャナハトゥー
00d2	クシャナマカーン
00d3	ミヅハ【大袖】
00d4	トヨタマ【大袖】
00d5	エンプレスアーム
00d6	エンプレスガード
00d7	金剛【篭手】
00d8	不動【篭手】
00d9	カイザーアーム
00da	カイザーガード
00db	夜叉【御手】
00dc	修羅【御手】
00dd	金色ノ篭手
00de	黒子ノ篭手
00df	ミラルーツクロウ
00e0	ミラルーツフィスト
00e1	クロオビＳアーム
00e2	スノーランポハンド
00e3	ガブラスーツハンド
00e4	ギルドナイトグラブ
00e5	ギルドナイトカフス
00e6	メイドカフス
00e7	プライベートカフス
00e8	ギルドガードグラブ蒼
00e9	ギルドガードカフス蒼
00ea	ギルドガードグラブ蒼
00eb	ギルドガードカフス蒼
00ec	アメザリアーム
00ed	アメザリガード
00ee	破龍の篭手
