0001	装備無し
0096	ゲリョスＳメイル
0097	ゲリョスＳレジスト
0098	ガレオスＳメイル
0099	ガレオスＳレジスト
009a	スティールＳメイル
009b	レイアＳメイル
009c	レイアＳレジスト
009d	フルフルＳメイル
009e	フルフルＳレジスト
009f	レウスＳメイル
00a0	レウスＳレジスト
00a1	ガノスＳメイル
00a2	ガノスＳレジスト
00a3	バサルＳメイル
00a4	バサルＳレジスト
00a5	ディアブロＳメイル
00a6	ディアブロＳレジスト
00a7	モノブロスＳメイル
00a8	モノブロスＳレジスト
00a9	グラビドＳメイル
00aa	グラビドＳレジスト
00ab	忍の装束・天
00ac	忍の装束・地
00ad	ギルドガードスーツ紅
00ae	ギルドガードベスト紅
00af	ギルドガードスーツ紅
00b0	ギルドガードベスト紅
00b1	暁丸・覇【胴当て】
00b2	曙丸・覇【胴当て】
00b3	凛・覇【胸当て】
00b4	艶・覇【胸当て】
00b5	ドラゴンＳハイド
00b6	ドラゴンＳスキン
00b7	ザザミメイル
00b8	ザザミレジスト
00b9	ザザミＵメイル
00ba	ザザミＵレジスト
00bb	ザザミＳメイル
00bc	ザザミＳレジスト
00bd	コンガメイル
00be	コンガレジスト
00bf	コンガＵメイル
00c0	コンガＵレジスト
00c1	コンガＳメイル
00c2	コンガＳレジスト
00c3	ブランゴメイル
00c4	ブランゴレジスト
00c5	ブランゴＵメイル
00c6	ブランゴＵレジスト
00c7	ブランゴＳメイル
00c8	ブランゴＳレジスト
00c9	ギザミメイル
00ca	ギザミレジスト
00cb	ギザミＵメイル
00cc	ギザミＵレジスト
00cd	ギザミＳメイル
00ce	ギザミＳレジスト
00cf	キリンベスト
00d0	キリンケープ
00d1	キリンＳベスト
00d2	キリンＳケープ
00d3	クシャナディール
00d4	クシャナバダル
00d5	ミヅハ【胸当て】
00d6	トヨタマ【胸当て】
00d7	エンプレスメイル
00d8	エンプレスレジスト
00d9	金剛【胴当て】
00da	不動【胴当て】
00db	カイザーメイル
00dc	カイザーレジスト
00dd	夜叉【羽衣】
00de	修羅【羽衣】
00df	金色ノ羽織
00e0	黒子ノ装束
00e1	ミラルーツハイド
00e2	ミラルーツスキン
00e3	クロオビＳメイル
00e4	スノーランポボディ
00e5	ファミ通ＴシャツＳ
00e6	ガブラスーツボディ
00e7	ギルドナイトスーツ
00e8	ギルドナイトベスト
00e9	メイドベスト
00ea	プライベートベスト
00eb	狩人Ｔシャツ
00ec	ファミ通Ｔシャツ
00ed	ギルドガードスーツ蒼
00ee	ギルドガードベスト蒼
00ef	ギルドガードスーツ蒼
00f0	ギルドガードベスト蒼
00f1	アメザリメイル
00f2	アメザリスキン
00f3	ギルドヒーローメイル
