0001	装備無し
00be	ガノフィンショテル
00bf	ヒーローブレイド
00c0	フロストエッジ
00c1	リベットクラブ
00c2	フロストエッジ改
00c3	クギバット
00c4	クリムゾンクラブ
00c5	モノブロスクラブ
00c6	凄くさびた小剣
00c7	さびた小剣
00c8	独龍剣【青鬼】
00c9	封龍剣【絶一門】
00ca	金獣棍
00cb	金獣棍【禁忌】
00cc	ドラゴンバスター
00cd	ツルギ【烏】
00ce	ねこ？ぱんち
00cf	にゃんにゃんぼう
00d0	タクティクス
00d1	斬破刀
00d2	天上天下無双刀
00d3	クロームレイザー
00d4	封龍剣【滅一門】
00d5	破鎚シャッター
00d6	激鎚オンスロート
00d7	バインドキューブ
00d8	テッケン
00d9	竜騎槍ゲイボルグ
00da	レクイエムスピア
00db	プロミネンスピラー
00dc	黒龍槍
00dd	クックツインズ
00de	コロナ
00df	黒龍剣
00e0	オデッセイ
00e1	おやすみベア
00e2	エストック
00e3	ニンジャソード
00e4	鬼金棒
00e5	ジークムント
00e6	レイトウマグロ
00e7	大鬼槍ラージャン
00e8	ヴァルハラ
00e9	ネイティブスピア
00ea	ポリタン
00eb	ツインダガー
00ec	ハイツインダガー
00ed	ハリケーン
00ee	ピンクボンボン
00ef	サイクロン
00f0	デュアルトマホーク
00f1	デュアルトマホーク改
00f2	オーダーレイピア
00f3	テッセン【烏】
00f4	ホーリーセーバー
00f5	工房試作品【鋸斬り】
00f6	正式採用機械鋸
00f7	ボーンシックル
00f8	ボーンシックル改
00f9	ガノカットラス
00fa	ガノカットラス改
00fb	ブロスブロス
00fc	ブロスブロス改
00fd	インセクトオーダー
00fe	インセクトオーダー改
00ff	ツインフレイム
0100	ツインハイフレイム
0101	双剣リュウノツガイ
0102	双龍剣
0103	双龍剣【極】
0104	バルバロイブレイド
0105	クリムゾンゴート
0106	煌剣リオレウス
0107	溶解鎚【煉獄】
0108	ホワイトディザスター
0109	ドスバイトダガー改
010a	双鉄扇【ガバス】
010b	クリムゾンサイス
010c	ホワイトマンティス
010d	セイリュウトウ【烏】
010e	テスカブレイド
010f	真・竜ノ顎
0110	軍刀
0111	軍刀【獅子舞】
0112	ガーディアンソード
0113	鬼神斬破刀
0114	蛇剣【白蛇】
0115	蒼剣ガノトトス
0116	鎌威太刀
0117	執行人の大斧
0118	蒼刃剣ガノトトス
0119	龍刀【朧火】
011a	ブラッシュデイム
011b	ペイルカイザー
011c	鋼氷大剣
011d	鋼氷大剣−改
011e	鬼斬破
011f	クロームデスレイザー
0120	封龍剣【超滅一門】
0121	クロオビブレイド
0122	タツジンブレイド
0123	凄く風化した大剣
0124	風化した大剣
0125	クラブカッター
0126	エピタフプレート
0127	ボーンホルン
0128	ウォードラム
0129	ソニックビードロー
012a	ソニックビードロー改
012b	鬼鉄丸
012c	正式採用機械鎚
012d	ウォースタンプ
012e	ウォーバッシュ
012f	メタルバグパイプ
0130	龍壊棍
0131	フルフルホルン
0132	クックピック
0133	グレートノヴァ
0134	ウラナイオカリナ
0135	クロオビハンマー
0136	タツジンハンマー
0137	凄く風化した槌
0138	風化した槌
0139	ウラナイオカリナ改
013a	パルセイト・コア
013b	ウォーボンゴ
013c	ブラッドホルン
013d	ブロンズベル
013e	龍木ノ笛
013f	ダーク
0140	正式採用機械槍
0141	龍騎槍ゲイボルガ
0142	ホウテンゲキ【烏】
0143	黒滅龍槍
0144	ブラックテンペスト
0145	鋼氷槍
0146	鋼氷槍−改
0147	ブルーテイル
0148	ブループロミネンス
0149	雷槍【イカズチ】
014a	黒槍グラビモス
014b	クロオビランス
014c	タツジンランス
014d	凄く風化した槍
014e	風化した槍
014f	テオ＝ハウル
0150	マテンロウ
0151	ドラゴニックリム
0152	漆黒槍グラビモス
0153	ブレイドエッジ
0154	ブレイドエッジ改
0155	オデッセイブレイド
0156	デッドリィタバルジン
0157	雷神剣インドラ
0158	双焔
0159	黒滅龍剣
015a	呪魂
015b	フランベロジュ
015c	ランポスクロウズ
015d	メルトウォーリア
015e	ゴールドマロウ
015f	ガノフィンスパイク
0160	ハイガノススパイク
0161	メラルーツール
0162	クロオビソード
0163	タツジンソード
0164	ハイニンジャソード
0165	雷神宝剣キリン
0166	双龍剣【天地】
0167	改良型機械鋸
0168	ギルドナイトセーバー
0169	インセクトスライサー
016a	ゲキリュウノツガイ
016b	凄く風化した双剣
016c	風化した双剣
016d	メルトウォーリア改
016e	封龍剣【超絶一門】
016f	オベリオン
0170	ティタルニア
0171	グラシアルブロス
0172	デスヴェノムハンマー
0173	伝説の双刃
0174	鬼薙刀
0175	ラスティクレイモア
0176	グラインドクレイモア
0177	ポリタンＧ
0178	ザンシュトウ【鶏】
0179	大鬼金棒
017a	召雷剣【麒麟】
017b	ミラブレイド
017c	双雷剣キリン
017d	アッパーミラブレイド
017e	斬老刀【スサノオ】
017f	ダイミョウカッター
0180	飛竜刀【翠】
0181	軍刀【獅子王】
0182	モノブロスサイス
0183	フロストリーパー
0184	インペリアルソード
0185	龍木ノ太刀【神憑】
0186	飛竜刀【楓】
0187	大鬼薙刀
0188	エクディシス
0189	ボーンホルン改
018a	ウォードラム改
018b	クイーンビードロー
018c	フルフルフルート
018d	グレートバグパイプ
018e	マジナイオカリナ
018f	ウォーコンガ
0190	ブラッドフルート
0191	ガオレンズベル
0192	龍木ノ笛【宿神】
0193	スティールガンランス
0194	ビッグスラッガー
0195	ヘルスティンガー
0196	ホワイトキャノン
0197	ナナ＝フレア
0198	シザーキャノン
0199	ブラックゴアキャノン
019a	ガンチャリオット
019b	龍木ノ槍【金剛】
019c	近衛隊正式銃槍
019d	グレートシザー
019e	召雷剣【麒麟王】
019f	ダオラ＝デグニダル
01a0	キリサキ
01a1	セイリュウトウ【狼】
01a2	ザンシュトウ【軍鶏】
01a3	レッドストライプ改
01a4	角竜剣ターリアラート
01a5	キングテスカブレイド
01a6	ブラックミラブレイド
01a7	ミラアンセスブレイド
01a8	カースオブキャット
01a9	ブルタスクハンマー
01aa	コーンヘッドハンマ改
01ab	ナナ＝トリ
01ac	イカリクラッシャー
01ad	スイ【狼】
01ae	エンシェントブロウ
01af	角竜鎚カオスレンダー
01b0	エンシェントレリック
01b1	バサルバッシュ
01b2	コロサル＝ダオラ
01b3	しろねこハンマー
01b4	くろねこハンマー
01b5	きんねこハンマー
01b6	キングロブスタンプ
01b7	バイオレンスジョー
01b8	ボーンクロウランス改
01b9	テリオス＝ダオラ
01ba	ツキサシ
01bb	ホウテンゲキ【狼】
01bc	撃竜槍【吽】
01bd	雷槍【タケミカヅチ】
01be	テオ＝ロア
01bf	封龍槍【刹那】
01c0	エメラルドスピア改
01c1	ストラテジー
01c2	豪剣アグニ
01c3	クイーンレイピア
01c4	エストレモ＝ダオラ
01c5	ハイフロストエッジ
01c6	独龍剣【蒼鬼】
01c7	ツルギ【狼】
01c8	クックツインズ改
01c9	ファンキーボンボン
01ca	ヤツザキ
01cb	テッセン【狼】
01cc	紅蓮双刃
01cd	双剣オオナズチ
01ce	ハイランポスクロウズ
01cf	双剣ニールイタメール
01d0	双影剣
01d1	ルーキーナイフ
01d2	祖龍ノ剣【月光】
01d3	軍刀【獅子炎王】
01d4	ディーレイ
01d5	ドスファングダガー
01d6	メラルーガジェット
01d7	大鐘シェンガオレン
01d8	煌竜剣
01d9	太刀扇【ガバス】
01da	ミラバスター
01db	蛇剣【毒蛾】
01dc	バルカンバスター
01dd	ミラアンセスバスター
01de	シェルハンマー
01df	飛竜刀【葵】
01e0	大骨
01e1	ディオミディア
01e2	メルトライジング
01e3	シェンスーベイハオ
01e4	ブラックルス＝ブラン
01e5	大長老の脇差
01e6	ダイオーガー
